Topic 0:	kalaban	0.0089285765
	sa	0.0089285765
	tumutok	0.0089285765
	range	0.0089285765
	long	0.0089285765
	gumamit	0.0089285765
	hunter	0.0089285765
	monster	0.0089285765
	ng	0.0089285765
	ako	0.0089285765
	lalaro	0.0089285765
	nag	0.0089285765
	pag	0.0089285765
	controlin	0.0089285765
	mahirap	0.0089285765
	great	0.0089285765
	devs	0.0089285765
	plz	0.0089285765
	tesselation	0.0089285765
	turn	0.0089285765
	community	0.0089285765
	gaming	0.0089285765
	contribution	0.0089285765
	downloaded	0.0089285765
	football	0.0089285765
	game	0.0089285765
	ps	0.0089285765
	pls	0.0089285765
	promete	0.0089285765
	cumpre	0.0089285765
Topic 1:	kalaban	0.0089285765
	sa	0.0089285765
	tumutok	0.0089285765
	range	0.0089285765
	long	0.0089285765
	gumamit	0.0089285765
	hunter	0.0089285765
	monster	0.0089285765
	ng	0.0089285765
	ako	0.0089285765
	lalaro	0.0089285765
	nag	0.0089285765
	pag	0.0089285765
	controlin	0.0089285765
	mahirap	0.0089285765
	great	0.0089285765
	devs	0.0089285765
	plz	0.0089285765
	tesselation	0.0089285765
	turn	0.0089285765
	community	0.0089285765
	gaming	0.0089285765
	contribution	0.0089285765
	downloaded	0.0089285765
	football	0.0089285765
	game	0.0089285765
	ps	0.0089285765
	pls	0.0089285765
	promete	0.0089285765
	cumpre	0.0089285765
Topic 2:	kalaban	0.0089285765
	sa	0.0089285765
	tumutok	0.0089285765
	range	0.0089285765
	long	0.0089285765
	gumamit	0.0089285765
	hunter	0.0089285765
	monster	0.0089285765
	ng	0.0089285765
	ako	0.0089285765
	lalaro	0.0089285765
	nag	0.0089285765
	pag	0.0089285765
	controlin	0.0089285765
	mahirap	0.0089285765
	great	0.0089285765
	devs	0.0089285765
	plz	0.0089285765
	tesselation	0.0089285765
	turn	0.0089285765
	community	0.0089285765
	gaming	0.0089285765
	contribution	0.0089285765
	downloaded	0.0089285765
	football	0.0089285765
	game	0.0089285765
	ps	0.0089285765
	pls	0.0089285765
	promete	0.0089285765
	cumpre	0.0089285765
Topic 3:	kalaban	0.0089285765
	sa	0.0089285765
	tumutok	0.0089285765
	range	0.0089285765
	long	0.0089285765
	gumamit	0.0089285765
	hunter	0.0089285765
	monster	0.0089285765
	ng	0.0089285765
	ako	0.0089285765
	lalaro	0.0089285765
	nag	0.0089285765
	pag	0.0089285765
	controlin	0.0089285765
	mahirap	0.0089285765
	great	0.0089285765
	devs	0.0089285765
	plz	0.0089285765
	tesselation	0.0089285765
	turn	0.0089285765
	community	0.0089285765
	gaming	0.0089285765
	contribution	0.0089285765
	downloaded	0.0089285765
	football	0.0089285765
	game	0.0089285765
	ps	0.0089285765
	pls	0.0089285765
	promete	0.0089285765
	cumpre	0.0089285765
